timestamp,victim_ip,attacker_count,action,details
2025-04-10 21:43:25.080735,10.0.0.9,399.0,block,
2025-04-10 21:43:35.734672,10.0.0.9,39.0,block,
2025-04-10 21:43:46.254309,10.0.0.9,285.0,block,
2025-04-10 21:43:58.957715,10.0.0.9,181.0,block,
2025-04-10 21:44:10.894867,10.0.0.9,545.0,block,
2025-04-10 21:44:44.525960,10.0.0.9,,unblock,"Attack subsided after 1.32 minutes, 1449 IPs were blocked"
2025-04-10 21:45:58.572704,10.0.0.1,15.0,block,
2025-04-10 21:46:08.603816,10.0.0.1,219.0,block,
2025-04-10 21:46:19.228671,10.0.0.1,457.0,block,
2025-04-10 21:46:30.157142,10.0.0.1,292.0,block,
2025-04-10 21:46:40.978067,10.0.0.1,369.0,block,
2025-04-10 21:46:53.732554,10.0.0.1,545.0,block,
2025-04-10 21:47:16.041469,10.0.0.1,435.0,block,
2025-04-10 21:47:36.549132,10.0.0.1,196.0,block,
2025-04-10 21:48:08.483835,10.0.0.1,,unblock,"Attack subsided after 2.17 minutes, 2528 IPs were blocked"
2025-04-10 21:50:42.659485,10.0.0.5,182.0,block,
2025-04-10 21:50:53.056233,10.0.0.5,350.0,block,
2025-04-10 21:51:04.349092,10.0.0.5,450.0,block,
2025-04-10 21:51:15.759419,10.0.0.5,454.0,block,
2025-04-10 21:51:29.063045,10.0.0.5,165.0,block,
2025-04-10 21:51:39.830540,10.0.0.5,497.0,block,
2025-04-10 21:51:51.382865,10.0.0.5,309.0,block,
2025-04-10 21:52:02.485433,10.0.0.5,284.0,block,
2025-04-10 21:52:13.556904,10.0.0.5,212.0,block,
2025-04-10 21:52:26.055036,10.0.0.5,464.0,block,
2025-04-10 21:52:37.604148,10.0.0.5,186.0,block,
2025-04-10 21:52:48.391488,10.0.0.5,327.0,block,
2025-04-10 21:52:59.472224,10.0.0.5,363.0,block,
2025-04-10 21:53:10.612956,10.0.0.5,544.0,block,
2025-04-10 21:53:33.976351,10.0.0.1,321.0,block,
2025-04-10 21:53:46.278355,10.0.0.5,,unblock,"Attack subsided after 3.06 minutes, 4605 IPs were blocked"
2025-04-10 21:53:57.360170,10.0.0.1,317.0,block,
2025-04-10 21:54:27.816930,10.0.0.1,,unblock,"Attack subsided after 0.90 minutes, 638 IPs were blocked"
